MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
1,1,DPC 2022 Summer Tour - China Division 1,Royal Never Give Up,dire,23,WIN,24:20,Ember Spirit,Ursa,Winter Wyvern,Nature's Prophet,Nyx Assassin
1,1,DPC 2022 Summer Tour - China Division 1,Vici Gaming,radiant,8,LOSE,24:20,Phantom Assassin,Void Spirit,Warlock,Lion,Dawnbreaker
1,2,DPC 2022 Summer Tour - China Division 1,Royal Never Give Up,dire,36,WIN,38:48,Lycan,Ogre Magi,Bloodseeker,Zeus,Tiny
1,2,DPC 2022 Summer Tour - China Division 1,Vici Gaming,radiant,29,LOSE,38:48,Tidehunter,Spectre,Warlock,Razor,Marci
2,1,DPC 2022 Summer Tour - China Division 1,Team Aster,dire,30,WIN,42:57,Spectre,Enigma,Dazzle,Razor,Tiny
2,1,DPC 2022 Summer Tour - China Division 1,PSG.LGD,radiant,18,LOSE,42:57,Queen of Pain,Shadow Shaman,Dawnbreaker,Faceless Void,Warlock
3,1,DPC 2022 Summer Tour - China Division 1,Vici Gaming,dire,23,LOSE,42:51,Spectre,Mars,Pugna,Ember Spirit,Monkey King
3,1,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,40,WIN,42:51,Alchemist,Pangolier,Snapfire,Marci,Puck
3,2,DPC 2022 Summer Tour - China Division 1,Vici Gaming,radiant,12,LOSE,26:28,Templar Assassin,Earth Spirit,Razor,Warlock,Puck
3,2,DPC 2022 Summer Tour - China Division 1,EHOME,dire,24,WIN,26:28,Enigma,Nature's Prophet,Nyx Assassin,Void Spirit,Tiny
4,1,DPC 2022 Summer Tour - China Division 1,PSG.LGD,dire,27,WIN,37:38,Tinker,Bristleback,Earth Spirit,Razor,Warlock
4,1,DPC 2022 Summer Tour - China Division 1,Royal Never Give Up,radiant,21,LOSE,37:38,Terrorblade,Ogre Magi,Ember Spirit,Keeper of the Light,Tiny
4,2,DPC 2022 Summer Tour - China Division 1,PSG.LGD,radiant,29,WIN,41:01,Death Prophet,Rubick,Mars,Faceless Void,Warlock
4,2,DPC 2022 Summer Tour - China Division 1,Royal Never Give Up,dire,23,LOSE,41:01,Spectre,Winter Wyvern,Razor,Keeper of the Light,Clockwerk
5,1,DPC 2022 Summer Tour - China Division 1,Royal Never Give Up,radiant,30,WIN,29:14,Keeper of the Light,Juggernaut,Winter Wyvern,Zeus,Tiny
5,1,DPC 2022 Summer Tour - China Division 1,Xtreme Gaming,dire,10,LOSE,29:14,Disruptor,Ursa,Visage,Dawnbreaker,Puck
5,2,DPC 2022 Summer Tour - China Division 1,Royal Never Give Up,dire,36,WIN,36:55,Lina,Ursa,Marci,Razor,Nyx Assassin
5,2,DPC 2022 Summer Tour - China Division 1,Xtreme Gaming,radiant,12,LOSE,36:55,Winter Wyvern,Weaver,Alchemist,Zeus,Warlock
6,1,DPC 2022 Summer Tour - China Division 1,PSG.LGD,radiant,9,LOSE,32:50,Terrorblade,Mirana,Beastmaster,Void Spirit,Warlock
6,1,DPC 2022 Summer Tour - China Division 1,Xtreme Gaming,dire,31,WIN,32:50,Huskar,Weaver,Enigma,Treant Protector,Tiny
6,2,DPC 2022 Summer Tour - China Division 1,PSG.LGD,dire,27,LOSE,45:35,Earthshaker,Zeus,Spectre,Weaver,Treant Protector
6,2,DPC 2022 Summer Tour - China Division 1,Xtreme Gaming,radiant,39,WIN,45:35,Earth Spirit,Ember Spirit,Terrorblade,Enigma,Warlock
7,1,DPC 2022 Summer Tour - China Division 1,Royal Never Give Up,dire,31,WIN,29:23,Ursa,Nature's Prophet,Nyx Assassin,Dragon Knight,Marci
7,1,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,6,LOSE,29:23,Troll Warlord,Rubick,Phoenix,Puck,Tiny
7,2,DPC 2022 Summer Tour - China Division 1,Royal Never Give Up,dire,15,LOSE,29:08,Centaur Warrunner,Shadow Shaman,Juggernaut,Death Prophet,Marci
7,2,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,27,WIN,29:08,Pangolier,Chaos Knight,Nature's Prophet,Windranger,Tiny
7,3,DPC 2022 Summer Tour - China Division 1,Royal Never Give Up,dire,25,WIN,32:47,Queen of Pain,Kunkka,Earth Spirit,Nature's Prophet,Marci
7,3,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,13,LOSE,32:47,Brewmaster,Lycan,Windranger,Keeper of the Light,Tiny
8,1,DPC 2022 Summer Tour - China Division 1,PSG.LGD,dire,28,WIN,32:15,Templar Assassin,Treant Protector,Razor,Bane,Tiny
8,1,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,18,LOSE,32:15,Earthshaker,Morphling,Visage,Crystal Maiden,Pangolier
8,2,DPC 2022 Summer Tour - China Division 1,PSG.LGD,dire,20,LOSE,33:50,Phantom Assassin,Crystal Maiden,Phoenix,Ember Spirit,Doom
8,2,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,26,WIN,33:50,Windranger,Juggernaut,Monkey King,Visage,Pangolier
8,3,DPC 2022 Summer Tour - China Division 1,PSG.LGD,dire,27,LOSE,41:19,Mars,Faceless Void,Jakiro,Treant Protector,Death Prophet
8,3,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,39,WIN,41:19,Beastmaster,Puck,Pugna,Visage,Tiny
9,1,DPC 2022 Summer Tour - China Division 1,Team Aster,radiant,25,WIN,36:11,Visage,Faceless Void,Pudge,Dazzle,Tiny
9,1,DPC 2022 Summer Tour - China Division 1,Xtreme Gaming,dire,11,LOSE,36:11,Lion,Underlord,Phoenix,Razor,Monkey King
10,1,DPC 2022 Summer Tour - China Division 1,Xtreme Gaming,dire,30,WIN,29:04,Snapfire,Monkey King,Puck,Visage,Tiny
10,1,DPC 2022 Summer Tour - China Division 1,Vici Gaming,radiant,9,LOSE,29:04,Grimstroke,Juggernaut,Void Spirit,Winter Wyvern,Doom
10,2,DPC 2022 Summer Tour - China Division 1,Xtreme Gaming,radiant,21,WIN,32:51,Elder Titan,Templar Assassin,Puck,Doom,Visage
10,2,DPC 2022 Summer Tour - China Division 1,Vici Gaming,dire,11,LOSE,32:51,Terrorblade,Snapfire,Mars,Monkey King,Tiny
11,1,DPC 2022 Summer Tour - China Division 1,Xtreme Gaming,dire,30,WIN,36:19,Snapfire,Ember Spirit,Treant Protector,Visage,Monkey King
11,1,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,19,LOSE,36:19,Leshrac,Marci,Phoenix,Nature's Prophet,Pangolier
11,2,DPC 2022 Summer Tour - China Division 1,Xtreme Gaming,dire,30,WIN,30:27,Underlord,Keeper of the Light,Enchantress,Pangolier,Monkey King
11,2,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,20,LOSE,30:27,Templar Assassin,Lion,Crystal Maiden,Void Spirit,Dawnbreaker
12,1,DPC 2022 Summer Tour - China Division 1,PSG.LGD,radiant,23,WIN,24:06,Naga Siren,Shadow Shaman,Ember Spirit,Enchantress,Dawnbreaker
12,1,DPC 2022 Summer Tour - China Division 1,Team Aster,dire,8,LOSE,24:06,Chaos Knight,Treant Protector,Visage,Puck,Tiny
12,2,DPC 2022 Summer Tour - China Division 1,PSG.LGD,radiant,23,WIN,24:13,Bristleback,Marci,Io,Razor,Tiny
12,2,DPC 2022 Summer Tour - China Division 1,Team Aster,dire,6,LOSE,24:13,Timbersaw,Morphling,Phoenix,Puck,Monkey King
13,1,DPC 2022 Summer Tour - China Division 1,Team Aster,dire,25,WIN,43:05,Bristleback,Treant Protector,Puck,Razor,Tiny
13,1,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,14,LOSE,43:05,Spectre,Rubick,Beastmaster,Pangolier,Warlock
13,2,DPC 2022 Summer Tour - China Division 1,Team Aster,dire,34,WIN,37:24,Chaos Knight,Beastmaster,Enchantress,Pudge,Winter Wyvern
13,2,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,19,LOSE,37:24,Medusa,Mars,Grimstroke,Visage,Void Spirit
14,1,DPC 2022 Summer Tour - China Division 1,Vici Gaming,dire,24,WIN,32:17,Razor,Bristleback,Warlock,Dawnbreaker,Puck
14,1,DPC 2022 Summer Tour - China Division 1,EHOME,radiant,15,LOSE,32:17,Sniper,Pangolier,Earth Spirit,Keeper of the Light,Marci
14,2,DPC 2022 Summer Tour - China Division 1,Vici Gaming,radiant,29,LOSE,45:41,Brewmaster,Terrorblade,Winter Wyvern,Death Prophet,Nyx Assassin
14,2,DPC 2022 Summer Tour - China Division 1,EHOME,dire,40,WIN,45:41,Chaos Knight,Monkey King,Enigma,Lina,Dawnbreaker
14,3,DPC 2022 Summer Tour - China Division 1,Vici Gaming,radiant,8,LOSE,24:44,Void Spirit,Spectre,Snapfire,Death Prophet,Nyx Assassin
14,3,DPC 2022 Summer Tour - China Division 1,EHOME,dire,22,WIN,24:44,Juggernaut,Visage,Marci,Lina,Dawnbreaker
15,1,DPC 2022 Summer Tour - China Division 1,Team Aster,dire,24,LOSE,38:06,Brewmaster,Viper,Sven,Pudge,Winter Wyvern
15,1,DPC 2022 Summer Tour - China Division 1,Royal Never Give Up,radiant,20,WIN,38:06,Lifestealer,Puck,Marci,Nature's Prophet,Nyx Assassin
15,2,DPC 2022 Summer Tour - China Division 1,Team Aster,radiant,19,LOSE,50:55,Lycan,Weaver,Earth Spirit,Alchemist,Viper
15,2,DPC 2022 Summer Tour - China Division 1,Royal Never Give Up,dire,19,WIN,50:55,Juggernaut,Razor,Abaddon,Puck,Tiny
16,1,DPC 2022 Spring Tour - China Finals,Xtreme Gaming,dire,26,WIN,33:21,Witch Doctor,Lion,Wraith King,Lina,Pangolier
16,1,DPC 2022 Spring Tour - China Finals,Team Aster,radiant,7,LOSE,33:21,Phantom Assassin,Timbersaw,Shadow Shaman,Ember Spirit,Keeper of the Light
16,2,DPC 2022 Spring Tour - China Finals,Xtreme Gaming,radiant,9,LOSE,34:22,Morphling,Elder Titan,Lion,Lina,Pangolier
16,2,DPC 2022 Spring Tour - China Finals,Team Aster,dire,21,WIN,34:22,Brewmaster,Dragon Knight,Treant Protector,Ember Spirit,Keeper of the Light
16,3,DPC 2022 Spring Tour - China Finals,Xtreme Gaming,radiant,14,LOSE,34:38,Morphling,Puck,Undying,Dragon Knight,Shadow Shaman
16,3,DPC 2022 Spring Tour - China Finals,Team Aster,dire,30,WIN,34:38,Lion,Grimstroke,Terrorblade,Brewmaster,Keeper of the Light
17,1,DPC 2022 Spring Tour - China Finals,Royal Never Give Up,dire,30,WIN,42:07,Lifestealer,Necrophos,Lion,Grimstroke,Dragon Knight
17,1,DPC 2022 Spring Tour - China Finals,Xtreme Gaming,radiant,19,LOSE,42:07,Batrider,Wraith King,Rubick,Abaddon,Pangolier
17,2,DPC 2022 Spring Tour - China Finals,Royal Never Give Up,radiant,20,LOSE,43:26,Tusk,Bane,Phoenix,Medusa,Dragon Knight
17,2,DPC 2022 Spring Tour - China Finals,Xtreme Gaming,dire,30,WIN,43:26,Huskar,Underlord,Nyx Assassin,Abaddon,Templar Assassin
17,3,DPC 2022 Spring Tour - China Finals,Royal Never Give Up,dire,19,LOSE,46:05,Ursa,Brewmaster,Lion,Abaddon,Keeper of the Light
17,3,DPC 2022 Spring Tour - China Finals,Xtreme Gaming,radiant,32,WIN,46:05,Weaver,Juggernaut,Pangolier,Grimstroke,Dragon Knight
18,1,DPC 2022 Spring Tour - China Finals,PSG.LGD,radiant,24,WIN,24:09,Templar Assassin,Monkey King,Doom,Abaddon,Keeper of the Light
18,1,DPC 2022 Spring Tour - China Finals,Royal Never Give Up,dire,8,LOSE,24:09,Juggernaut,Night Stalker,Hoodwink,Grimstroke,Ember Spirit
18,2,DPC 2022 Spring Tour - China Finals,PSG.LGD,dire,37,WIN,34:12,Queen of Pain,Faceless Void,Dragon Knight,Doom,Grimstroke
18,2,DPC 2022 Spring Tour - China Finals,Royal Never Give Up,radiant,25,LOSE,34:12,Razor,Ogre Magi,Templar Assassin,Mars,Shadow Shaman
19,1,DPC 2022 Spring Tour - China Finals,Team Aster,dire,9,LOSE,34:03,Mars,Faceless Void,Hoodwink,Dragon Knight,Abaddon
19,1,DPC 2022 Spring Tour - China Finals,PSG.LGD,radiant,24,WIN,34:03,Leshrac,Brewmaster,Omniknight,Monkey King,Shadow Shaman
19,2,DPC 2022 Spring Tour - China Finals,Team Aster,dire,14,LOSE,34:05,Tiny,Mars,Shadow Demon,Pangolier,Pugna
19,2,DPC 2022 Spring Tour - China Finals,PSG.LGD,radiant,23,WIN,34:05,Phoenix,Chaos Knight,Omniknight,Dragon Knight,Snapfire
19,3,DPC 2022 Spring Tour - China Finals,Team Aster,dire,24,LOSE,40:07,Lifestealer,Templar Assassin,Dragon Knight,Brewmaster,Pugna
19,3,DPC 2022 Spring Tour - China Finals,PSG.LGD,radiant,22,WIN,40:07,Underlord,Kunkka,Witch Doctor,Anti-Mage,Shadow Shaman
20,1,DPC 2022 Spring Tour - China Finals,PSG.LGD,radiant,19,LOSE,40:09,Phantom Lancer,Puck,Phoenix,Doom,Bane
20,1,DPC 2022 Spring Tour - China Finals,Xtreme Gaming,dire,31,WIN,40:09,Clinkz,Lina,Treant Protector,Shadow Shaman,Dragon Knight
20,2,DPC 2022 Spring Tour - China Finals,PSG.LGD,radiant,35,WIN,29:30,Monkey King,Brewmaster,Death Prophet,Pangolier,Shadow Shaman
20,2,DPC 2022 Spring Tour - China Finals,Xtreme Gaming,dire,15,LOSE,29:30,Juggernaut,Phoenix,Chaos Knight,Grimstroke,Dragon Knight
20,3,DPC 2022 Spring Tour - China Finals,PSG.LGD,radiant,31,WIN,27:29,Monkey King,Shadow Demon,Lina,Brewmaster,Shadow Shaman
20,3,DPC 2022 Spring Tour - China Finals,Xtreme Gaming,dire,13,LOSE,27:29,Centaur Warrunner,Templar Assassin,Death Prophet,Grimstroke,Dragon Knight
21,1,DPC 2022 Spring Tour - China Finals,PSG.LGD,radiant,13,LOSE,28:13,Ursa,Silencer,Mars,Storm Spirit,Io
21,1,DPC 2022 Spring Tour - China Finals,Team Aster,dire,31,WIN,28:13,Death Prophet,Chaos Knight,Phoenix,Dragon Knight,Shadow Shaman
21,2,DPC 2022 Spring Tour - China Finals,PSG.LGD,radiant,15,LOSE,38:01,Ember Spirit,Lina,Undying,Mars,Io
21,2,DPC 2022 Spring Tour - China Finals,Team Aster,dire,26,WIN,38:01,Medusa,Brewmaster,Bane,Phoenix,Dragon Knight
22,1,DPC 2022 Spring Tour - Eastern Europe Division 1,Team Spirit,radiant,31,LOSE,55:05,Faceless Void,Hoodwink,Shadow Demon,Chaos Knight,Storm Spirit
22,1,DPC 2022 Spring Tour - Eastern Europe Division 1,BetBoom Team,dire,46,WIN,55:05,Snapfire,Spirit Breaker,Grimstroke,Bane,Nature's Prophet
